"issue","subject","company","response","product_area","status","request_type","justification"
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.","Claude access lost","Claude","Access restoration requests must be submitted by a workspace owner or admin. Please ask your workspace admin to restore your access, or have your IT administrator contact support with account verification details.","identity-management-sso-jit-scim","escalated","product_issue","Ticket requests account access restoration from a non-owner/non-admin user. This requires admin verification and cannot be processed without account authority."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.","Test Score Dispute","HackerRank","We understand your concern, but HackerRank support is unable to modify assessment scores or influence hiring decisions on behalf of candidates. Assessment results are final and determined by the platform's automated grading. If you believe there was a technical error, please contact the recruiter or company directly.","screen","escalated","invalid","Request asks to change an assessment score or influence a recruiter decision — both are outside support's authority and involve exam integrity. Escalated."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.","Help","Visa","Your billing or refund request requires review by our billing team. Please contact support directly with your order details and account information so they can assist you promptly.","general_support","escalated","product_issue","Ticket involves a billing, refund, or subscription change — these require human review and account verification. Escalated to billing team."
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working","HackerRank","Your billing or refund request requires review by our billing team. Please contact support directly with your order details and account information so they can assist you promptly.","billing","escalated","product_issue","Ticket involves a billing, refund, or subscription change — these require human review and account verification. Escalated to billing team."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?","Give me my money","HackerRank","Your billing or refund request requires review by our billing team. Please contact support directly with your order details and account information so they can assist you promptly.","billing","escalated","product_issue","Ticket involves a billing, refund, or subscription change — these require human review and account verification. Escalated to billing team."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms","Using HackerRank for hiring","HackerRank","Escalate to a human","general-help","escalated","product_issue","The request involves completing infosec/security assessment forms, which is a legal/compliance/regulatory matter outside the scope of corpus-documented support. This requires involvement from HackerRank's security or legal team."
"i can not able to see apply tab","I need to practice, submissions not working","HackerRank","Escalate to a human","general_support","escalated","bug","The corpus does not contain specific documentation about the 'apply tab' visibility or practice submission failures. This requires hands-on technical investigation by a support agent."
"none of the submissions across any challenges are working on your website","Issue while taking the test","HackerRank","Escalate to a human","general-help","escalated","bug","The report that no submissions are working across all challenges indicates a potential platform-wide or infrastructure outage, which is an explicit escalation trigger and cannot be resolved through corpus-based support guidance."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error","I am facing an blocker while doing compatible check","HackerRank","Assessment rescheduling cannot be arranged through HackerRank support directly. Please reach out to the recruiter or hiring team at the company that invited you. They have the ability to extend test deadlines or resend invitations.","screen","escalated","product_issue","Assessment rescheduling requires action from the recruiting company — HackerRank support cannot reschedule on behalf of candidates. Escalated."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.","","HackerRank","Assessment rescheduling cannot be arranged through HackerRank support directly. Please reach out to the recruiter or hiring team at the company that invited you. They have the ability to extend test deadlines or resend invitations.","screen","escalated","product_issue","Assessment rescheduling requires action from the recruiting company — HackerRank support cannot reschedule on behalf of candidates. Escalated."
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?","Candidate inactivity help","HackerRank","Escalate to a human agent. Your question about inactivity timeout durations for interviewers and candidates — and whether they can be extended — requires checking specific platform configuration settings that are not covered in our available documentation. A support specialist will be able to confirm the current timeout values, clarify whether separate thresholds exist for interviewers vs. candidates, and advise on whether these can be adjusted for your account.","interview","escalated","product_issue","The corpus does not contain documentation on inactivity timeout settings, duration differences between interviewer and candidate sessions, or how to configure/extend them. Escalation is required to provide accurate, account-specific guidance."
"it’s not working, help","Help needed","None","Escalate to a human","general-help","escalated","bug","The ticket provides no identifiable product, company, or issue description to triage against corpus documents. A human agent is needed to gather more information and route appropriately."
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?","How to Remove a User","HackerRank","Thank you for reaching out! Removing an interviewer from the HackerRank platform requires specific admin permissions and steps that I want to make sure are communicated accurately. I'm escalating your request to a human support agent who can walk you through the exact process for your account setup.","general-help","escalated","product_issue","The provided corpus documents do not contain sufficient detail on the steps required to remove/delete an interviewer or user from the HackerRank platform. Escalating to a human agent to ensure accurate guidance."
"Hi, please pause our subscription. We have stopped all hiring efforts for now.","Subscription pause","HackerRank","Your billing or refund request requires review by our billing team. Please contact support directly with your order details and account information so they can assist you promptly.","billing","escalated","product_issue","Ticket involves a billing, refund, or subscription change — these require human review and account verification. Escalated to billing team."
"Claude has stopped working completely, all requests are failing","Claude not responding","Claude","We are sorry to hear you are experiencing issues accessing the service. This appears to be a platform-level issue that requires investigation by our engineering team. Please check the official status page for updates, and our team has been notified.","general-help","escalated","bug","Ticket reports complete service unavailability / outage — this is an infrastructure issue that requires engineering escalation, not a support-answerable question."
"My identity has been stolen, wat should I do","Identity Theft","Visa","This is a serious situation that requires immediate human assistance. Please contact your card issuer or our security team directly. For Visa card fraud: call the Visa Global Customer Assistance Service at +1 303 967 1090 (available 24/7) or the country-specific number on the back of your card.","general_support","escalated","product_issue","Ticket involves identity theft or fraud — high-risk situation requiring immediate human escalation and cannot be resolved via automated support."
"Resume Builder is Down","Help in creating resume","HackerRank","Escalate to a human","hackerrank_community","escalated","bug","The user reports that Resume Builder is down, which constitutes a potential infrastructure/service outage. Per escalation policy, infrastructure outages must be handled by a human agent."
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it","Certificate name update","HackerRank","You can update the name on your certificate yourself — no need to contact support. Here's how:

1. Open your certificate page.
2. In the **Full Name** field, enter the name you want displayed.
3. Click **Regenerate Certificate**.
4. In the confirmation dialog, click **Update Name**.

Please note: you can only update your name **once per account**, and the change will apply to all your certificates. It cannot be changed again after that.","hackerrank_community","replied","product_issue","The corpus contains clear, step-by-step instructions for updating a certificate name in HackerRank Community. Answered directly without escalation."
"How do I dispute a charge","Dispute charge","Visa","To dispute a charge on your Visa card, follow these steps:

1. **Contact your card issuer** – Reach out to the bank or financial institution that issued your Visa card. You will find their contact number on the back of your card or on your billing statement.

2. **The dispute process works as follows:**
   - You (the cardholder) contact your issuer to question a charge on your billing statement.
   - Your issuer contacts the merchant's acquirer for a copy of the transaction record.
   - The merchant provides a legible copy of the transaction receipt to their acquirer.

3. **For lost or stolen cards** that may have led to unauthorized charges, call Visa's global support line for your country. For example: USA/Canada: 1-800-847-2911.

For full dispute guidelines, Visa also provides a downloadable Dispute Management Guide at: https://www.visa.com/content/dam/VCOM/global/support-legal/documents/merchants-dispute-management-guidelines.pdf","support","replied","product_issue","The corpus (Doc 2) contains clear documentation on the dispute resolution process for Visa cardholders and merchants. Answered directly from the documented steps without escalation."
"I have found a major security vulnerability in Claude, what are the next steps","Bug bounty","Claude","Thank you for your responsible disclosure. Anthropic runs a Model Safety Bug Bounty Program through HackerOne. Here are the next steps:

1. Visit HackerOne and apply to Anthropic's Model Safety Bug Bounty Program.
2. Once accepted, submit your vulnerability report through the HackerOne platform — this is the central legitimate channel for reporting security issues.
3. The program is primarily focused on universal jailbreaks that bypass Constitutional Classifiers, but all qualifying reports can be submitted via HackerOne.
4. A free model alias is available to accepted participants for authorized red-teaming activities.

Please do not publicly disclose the vulnerability before submitting through HackerOne.","safeguards","replied","bug","The corpus contains clear documentation on Anthropic's Model Safety Bug Bounty Program via HackerOne, which is the designated channel for reporting security vulnerabilities in Claude. Answered directly from that documentation."
